state,period,target,anytarget_th0,inc_anytarget_th0_h6,protest_count,avg_protest_count,violence
AZ,201911,0,0,1.0,8.0,10.02,0.0
AZ,201912,0,0,1.0,9.0,10.02,0.0
AZ,202001,0,0,1.0,5.0,10.02,0.0
AZ,202002,0,0,1.0,6.0,10.02,0.0
AZ,202003,0,0,1.0,5.0,10.02,0.0
AZ,202004,0,0,1.0,5.0,10.02,0.0
AZ,202005,1,1,1.0,19.0,10.02,1.0
AZ,202006,1,1,1.0,74.0,10.02,1.0
AZ,202007,1,1,1.0,16.0,10.02,1.0
AZ,202008,1,1,1.0,22.0,10.02,1.0
AZ,202009,1,1,1.0,15.0,10.02,1.0
AZ,202010,1,1,1.0,17.0,10.02,1.0
AZ,202011,0,0,1.0,6.0,10.02,1.0
AZ,202012,0,0,1.0,6.0,10.02,1.0
AZ,202101,0,0,1.0,6.0,10.02,1.0
AZ,202102,0,0,1.0,4.0,10.02,0.0
AZ,202103,1,1,1.0,11.0,10.02,1.0
AZ,202104,1,1,1.0,14.0,10.02,0.0
AZ,202105,0,0,1.0,7.0,10.02,0.0
AZ,202106,1,1,1.0,13.0,10.02,1.0
AZ,202107,0,0,1.0,6.0,10.02,1.0
AZ,202108,1,1,1.0,14.0,10.02,0.0
AZ,202109,0,0,1.0,10.0,10.02,1.0
AZ,202110,1,1,1.0,11.0,10.02,1.0
AZ,202111,1,1,1.0,11.0,10.02,0.0
AZ,202112,0,0,1.0,8.0,10.02,1.0
AZ,202201,0,0,1.0,8.0,10.02,0.0
AZ,202202,0,0,1.0,10.0,10.02,1.0
AZ,202203,0,0,1.0,7.0,10.02,0.0
AZ,202204,0,0,1.0,7.0,10.02,0.0
AZ,202205,1,1,0.0,11.0,10.02,1.0
AZ,202206,0,0,1.0,6.0,10.02,1.0
AZ,202207,0,0,1.0,10.0,10.02,1.0
AZ,202208,0,0,1.0,10.0,10.02,0.0
AZ,202209,0,0,1.0,7.0,10.02,0.0
AZ,202210,0,0,1.0,9.0,10.02,1.0
AZ,202211,0,0,1.0,8.0,10.02,0.0
AZ,202212,1,1,1.0,33.0,10.02,0.0
AZ,202301,1,1,1.0,12.0,10.02,0.0
AZ,202302,1,1,1.0,11.0,10.02,1.0
AZ,202303,0,0,1.0,8.0,10.02,0.0
AZ,202304,0,0,1.0,9.0,10.02,0.0
AZ,202305,1,1,0.0,11.0,10.02,0.0
AZ,202306,0,0,0.0,5.0,10.02,0.0
AZ,202307,0,0,0.0,8.0,10.02,0.0
AZ,202308,0,0,1.0,6.0,10.02,0.0
AZ,202309,0,0,1.0,9.0,10.02,1.0
AZ,202310,0,0,1.0,10.0,10.02,0.0
AZ,202311,0,0,1.0,6.0,10.02,1.0
AZ,202312,0,0,1.0,5.0,10.02,1.0
AZ,202401,0,0,1.0,10.0,10.02,1.0
AZ,202402,1,1,1.0,18.0,10.02,1.0
AZ,202403,0,0,1.0,9.0,10.02,1.0
AZ,202404,1,1,1.0,13.0,10.02,1.0
AZ,202405,1,1,1.0,11.0,10.02,1.0
AZ,202406,0,0,1.0,9.0,10.02,1.0
AZ,202407,0,0,1.0,7.0,10.02,1.0
AZ,202408,0,0,1.0,8.0,10.02,1.0
AZ,202409,0,0,1.0,9.0,10.02,1.0
AZ,202410,1,1,1.0,16.0,10.02,1.0
AZ,202411,0,0,,5.0,10.02,0.0
AZ,202412,0,0,,5.0,10.02,0.0
AZ,202501,1,1,,15.0,10.02,1.0
AZ,202502,1,1,,15.0,10.02,1.0
AZ,202503,0,0,,8.0,10.02,0.0
AZ,202504,1,1,,21.0,10.02,0.0
CA,201701,0,0,0.0,20.0,82.6,1.0
CA,201702,0,0,0.0,31.0,82.6,1.0
CA,201703,0,0,0.0,22.0,82.6,1.0
CA,201704,0,0,0.0,4.0,82.6,1.0
CA,201705,0,0,0.0,13.0,82.6,1.0
CA,201706,0,0,0.0,6.0,82.6,1.0
CA,201707,0,0,0.0,7.0,82.6,1.0
CA,201708,0,0,0.0,46.0,82.6,1.0
CA,201709,0,0,0.0,42.0,82.6,1.0
CA,201710,0,0,0.0,12.0,82.6,1.0
CA,201711,0,0,0.0,13.0,82.6,1.0
CA,201712,0,0,1.0,22.0,82.6,1.0
CA,201801,0,0,1.0,21.0,82.6,1.0
CA,201802,0,0,1.0,16.0,82.6,1.0
CA,201803,0,0,1.0,14.0,82.6,1.0
CA,201804,0,0,1.0,22.0,82.6,1.0
CA,201805,0,0,1.0,19.0,82.6,1.0
CA,201806,1,1,0.0,157.0,82.6,1.0
CA,201807,0,0,0.0,18.0,82.6,1.0
CA,201808,0,0,0.0,12.0,82.6,1.0
CA,201809,0,0,0.0,35.0,82.6,1.0
CA,201810,0,0,0.0,6.0,82.6,1.0
CA,201811,0,0,0.0,10.0,82.6,1.0
CA,201812,0,0,0.0,15.0,82.6,1.0
CA,201901,0,0,1.0,56.0,82.6,1.0
CA,201902,0,0,1.0,10.0,82.6,1.0
CA,201903,0,0,1.0,19.0,82.6,1.0
CA,201904,0,0,1.0,12.0,82.6,1.0
CA,201905,0,0,1.0,10.0,82.6,1.0
CA,201906,0,0,1.0,13.0,82.6,1.0
CA,201907,1,1,0.0,128.0,82.6,0.0
CA,201908,0,0,0.0,26.0,82.6,1.0
CA,201909,0,0,0.0,5.0,82.6,1.0
CA,201910,0,0,0.0,7.0,82.6,0.0
CA,201911,0,0,1.0,19.0,82.6,1.0
CA,201912,0,0,1.0,6.0,82.6,1.0
CA,202001,0,0,1.0,12.0,82.6,0.0
CA,202002,0,0,1.0,15.0,82.6,1.0
CA,202003,0,0,1.0,9.0,82.6,0.0
CA,202004,0,0,1.0,13.0,82.6,1.0
CA,202005,1,1,1.0,181.0,82.6,1.0
CA,202006,1,1,1.0,962.0,82.6,1.0
CA,202007,1,1,1.0,259.0,82.6,1.0
CA,202008,1,1,1.0,158.0,82.6,1.0
CA,202009,1,1,1.0,165.0,82.6,1.0
CA,202010,1,1,1.0,129.0,82.6,1.0
CA,202011,1,1,1.0,99.0,82.6,1.0
CA,202012,0,0,1.0,76.0,82.6,1.0
CA,202101,1,1,1.0,91.0,82.6,1.0
CA,202102,0,0,1.0,81.0,82.6,1.0
CA,202103,1,1,1.0,185.0,82.6,1.0
CA,202104,1,1,1.0,161.0,82.6,1.0
CA,202105,1,1,1.0,134.0,82.6,1.0
CA,202106,1,1,1.0,111.0,82.6,1.0
CA,202107,1,1,1.0,84.0,82.6,1.0
CA,202108,1,1,1.0,102.0,82.6,1.0
CA,202109,1,1,1.0,112.0,82.6,1.0
CA,202110,1,1,1.0,83.0,82.6,1.0
CA,202111,0,0,1.0,77.0,82.6,1.0
CA,202112,0,0,1.0,64.0,82.6,1.0
CA,202201,1,1,1.0,87.0,82.6,1.0
CA,202202,1,1,1.0,139.0,82.6,1.0
CA,202203,1,1,1.0,92.0,82.6,1.0
CA,202204,1,1,1.0,100.0,82.6,1.0
CA,202205,1,1,1.0,113.0,82.6,1.0
CA,202206,1,1,1.0,121.0,82.6,1.0
CA,202207,1,1,1.0,100.0,82.6,1.0
CA,202208,1,1,1.0,98.0,82.6,1.0
CA,202209,1,1,1.0,93.0,82.6,1.0
CA,202210,1,1,1.0,130.0,82.6,1.0
CA,202211,0,0,1.0,64.0,82.6,1.0
CA,202212,1,1,1.0,83.0,82.6,1.0
CA,202301,1,1,1.0,124.0,82.6,1.0
CA,202302,1,1,1.0,109.0,82.6,1.0
CA,202303,1,1,1.0,130.0,82.6,1.0
CA,202304,1,1,1.0,93.0,82.6,1.0
CA,202305,1,1,1.0,112.0,82.6,1.0
CA,202306,1,1,1.0,101.0,82.6,1.0
CA,202307,1,1,1.0,91.0,82.6,1.0
CA,202308,1,1,1.0,83.0,82.6,1.0
CA,202309,1,1,1.0,104.0,82.6,1.0
CA,202310,1,1,1.0,119.0,82.6,1.0
CA,202311,0,0,1.0,76.0,82.6,1.0
CA,202312,0,0,1.0,80.0,82.6,1.0
CA,202401,1,1,1.0,103.0,82.6,1.0
CA,202402,1,1,1.0,83.0,82.6,1.0
CA,202403,1,1,1.0,101.0,82.6,1.0
CA,202404,1,1,1.0,87.0,82.6,1.0
CA,202405,0,0,1.0,82.0,82.6,1.0
CA,202406,1,1,1.0,86.0,82.6,1.0
CA,202407,0,0,1.0,80.0,82.6,1.0
CA,202408,0,0,1.0,77.0,82.6,1.0
CA,202409,0,0,1.0,82.0,82.6,1.0
CA,202410,1,1,1.0,83.0,82.6,1.0
CA,202411,1,1,,83.0,82.6,1.0
CA,202412,0,0,,68.0,82.6,1.0
CA,202501,1,1,,140.0,82.6,1.0
CA,202502,1,1,,146.0,82.6,1.0
CA,202503,1,1,,85.0,82.6,1.0
CA,202504,1,1,,175.0,82.6,1.0
CO,201701,0,0,0.0,6.0,8.44,1.0
CO,201702,0,0,0.0,8.0,8.44,1.0
CO,201703,0,0,0.0,1.0,8.44,1.0
CO,201704,0,0,0.0,0.0,8.44,0.0
CO,201705,0,0,0.0,1.0,8.44,0.0
CO,201706,0,0,0.0,3.0,8.44,1.0
CO,201707,0,0,0.0,0.0,8.44,1.0
CO,201708,0,0,0.0,8.0,8.44,0.0
CO,201709,0,0,0.0,5.0,8.44,0.0
CO,201710,0,0,0.0,1.0,8.44,0.0
CO,201711,0,0,0.0,3.0,8.44,0.0
CO,201712,0,0,1.0,2.0,8.44,0.0
CO,201801,0,0,1.0,6.0,8.44,0.0
CO,201802,0,0,1.0,2.0,8.44,1.0
CO,201803,0,0,1.0,2.0,8.44,0.0
CO,201804,0,0,1.0,1.0,8.44,0.0
CO,201805,0,0,1.0,0.0,8.44,0.0
CO,201806,1,1,1.0,27.0,8.44,1.0
CO,201807,0,0,1.0,3.0,8.44,0.0
CO,201808,0,0,1.0,1.0,8.44,1.0
CO,201809,1,1,1.0,15.0,8.44,0.0
CO,201810,0,0,1.0,1.0,8.44,0.0
CO,201811,0,0,1.0,2.0,8.44,1.0
CO,201812,0,0,1.0,0.0,8.44,0.0
CO,201901,1,1,1.0,14.0,8.44,0.0
CO,201902,0,0,1.0,0.0,8.44,0.0
CO,201903,0,0,1.0,2.0,8.44,0.0
CO,201904,0,0,1.0,3.0,8.44,0.0
CO,201905,0,0,1.0,1.0,8.44,1.0
CO,201906,0,0,1.0,4.0,8.44,1.0
CO,201907,1,1,0.0,15.0,8.44,1.0
