month,state,criminal justice,health,healthcare,immigrants,rent
2017-12,AS,0,0,0,,0
2018-01,AS,0,53,0,,0
2018-02,AS,0,0,0,,0
2018-03,AS,0,0,0,,0
2018-04,AS,0,45,0,,0
2018-05,AS,0,63,0,,0
2018-06,AS,0,69,0,,0
2018-07,AS,0,0,0,,0
2018-08,AS,0,55,0,,0
2018-09,AS,0,53,0,,0
2018-10,AS,0,44,0,,0
2018-11,AS,0,0,0,,0
2018-12,AS,0,0,0,,0
2019-01,AS,0,48,0,,0
2019-02,AS,0,0,0,,0
2019-03,AS,0,62,0,,0
2019-04,AS,0,63,0,,0
2019-05,AS,0,73,0,,0
2019-06,AS,0,0,0,,0
2019-07,AS,0,58,0,,0
2019-08,AS,0,53,0,,0
2019-09,AS,0,60,0,,0
2019-10,AS,0,68,0,,0
2019-11,AS,0,55,0,,0
2019-12,AS,0,40,0,,0
2020-01,AS,0,44,0,,0
2020-02,AS,0,34,0,,0
2020-03,AS,0,55,0,,61
2020-04,AS,0,53,0,,0
2020-05,AS,0,43,0,,0
2020-06,AS,0,56,0,,0
2020-07,AS,0,87,0,,65
2020-08,AS,0,46,0,,0
2020-09,AS,0,100,0,,0
2020-10,AS,0,0,100,,0
2020-11,AS,0,44,0,,0
2020-12,AS,0,29,0,,0
2021-01,AS,0,80,0,,0
2021-02,AS,0,39,0,,0
2021-03,AS,0,39,59,,0
2021-04,AS,0,41,0,,0
2021-05,AS,0,32,0,,0
2021-06,AS,0,34,0,,0
2021-07,AS,0,39,0,,0
2021-08,AS,0,35,0,,0
2021-09,AS,0,67,0,,0
2021-10,AS,0,48,0,,0
2021-11,AS,0,42,0,,0
2021-12,AS,0,38,0,,0
2022-01,AS,0,53,0,,0
2022-02,AS,0,64,0,,0
2022-03,AS,0,71,0,,42
2022-04,AS,0,62,0,,0
2022-05,AS,0,58,0,,0
2022-06,AS,0,38,0,,0
2022-07,AS,0,31,0,,0
2022-08,AS,0,38,0,,0
2022-09,AS,0,74,0,,0
2022-10,AS,0,63,0,,0
2022-11,AS,0,37,0,,0
2022-12,AS,0,43,0,,0
2023-01,AS,0,47,0,,0
2023-02,AS,0,62,0,,0
2023-03,AS,0,57,0,,0
2023-04,AS,0,69,0,,0
2023-05,AS,0,59,0,,0
2023-06,AS,0,47,0,,56
2023-07,AS,0,54,0,,0
2023-08,AS,0,54,0,,0
2023-09,AS,0,69,0,,0
2023-10,AS,0,63,0,,0
2023-11,AS,0,63,0,,0
2023-12,AS,0,38,0,,0
2024-01,AS,0,67,0,,0
2024-02,AS,0,51,0,,0
2024-03,AS,0,47,0,,44
2024-04,AS,0,53,0,,0
2024-05,AS,0,53,0,,0
2024-06,AS,0,0,0,,0
2024-07,AS,0,44,0,,0
2024-08,AS,0,35,0,,0
2024-09,AS,0,54,0,,0
2024-10,AS,0,37,0,,0
2024-11,AS,0,67,0,,0
2024-12,AS,0,32,0,,52
2025-01,AS,0,54,0,,0
2025-02,AS,0,74,0,,0
2025-03,AS,0,35,0,,0
2025-04,AS,0,41,0,,0
2025-05,AS,100,50,13,,23
2015-01,AZ,73,74,65,23.0,78
2015-02,AZ,83,69,65,25.0,76
2015-03,AZ,71,65,63,20.0,84
